"Freq [GHz]","Phi [deg]","Theta [deg]","db(GainPhi) []"
28,0,58,-2.28867478856437
28,0,60,-2.74793352253563
28,0,62,-3.30771239711086
28,0,64,-3.91511233312395
28,0,66,-4.50007756682472
28,0,68,-4.99803963845144
28,0,70,-5.37855076532282
28,0,72,-5.65930998955469
28,0,74,-5.89303157459284
28,0,76,-6.14017786892265
28,0,78,-6.44817881931636
28,0,80,-6.8435373273594
28,0,82,-7.33145737378532
28,0,84,-7.89665693239085
28,0,86,-8.50297396731462
28,0,88,-9.09439577694654
28,0,90,-9.60490999103773
28,0,92,-9.98343619299885
28,0,94,-10.2250482282951
28,0,96,-10.3829291764441
28,0,98,-10.5482772820051
28,0,100,-10.8168429660834
28,0,102,-11.2653465623041
28,0,104,-11.9409290241517
28,0,106,-12.8524906217913
28,0,108,-13.9499707240725
28,0,110,-15.0849067251105
28,0,112,-15.9911115811339
28,0,114,-16.4119833899256
28,0,116,-16.3601961953092
28,0,118,-16.1281468687391
28,0,120,-16.0297688354551
28,0,122,-16.2592247245998
28,0,124,-16.8974494061801
28,0,126,-17.9297859353014
28,0,128,-19.2187189530411
28,0,130,-20.4364906712502
28,0,132,-21.0530876453873
28,0,134,-20.6026518532239
28,0,136,-19.1436959139767
28,0,138,-17.2128549700951
28,0,140,-15.3352058613579
28,0,142,-13.8086374317867
28,0,144,-12.7606012698528
28,0,146,-12.2329786419002
28,0,148,-12.2237328573836
28,0,150,-12.6832948210746
28,0,152,-13.4530711108386
28,0,154,-14.1428596610442
28,0,156,-14.1690803688952
28,0,158,-13.3264668678913
28,0,160,-12.0510030301304
28,0,162,-10.8115869261047
28,0,164,-9.8116322103017
28,0,166,-9.08749231057107
28,0,168,-8.61027968895267
28,0,170,-8.32927300902998
28,0,172,-8.18745318864162
28,0,174,-8.12844363332996
28,0,176,-8.10218460037543
28,0,178,-8.07109536098895
28,0,180,-8.01583964950246
29,0,-180,-9.2870351472993
29,0,-178,-9.10846238493859
29,0,-176,-8.80398751135357
29,0,-174,-8.44929958813837
29,0,-172,-8.12644589341346
29,0,-170,-7.90839508289339
29,0,-168,-7.85325280208215
29,0,-166,-8.00565335746318
29,0,-164,-8.40167966869679
29,0,-162,-9.07404520172756
29,0,-160,-10.0533963737794
29,0,-158,-11.3564365202831
29,0,-156,-12.936271705452
29,0,-154,-14.550090719817
29,0,-152,-15.6226406336462
29,0,-150,-15.6697757370059
29,0,-148,-15.0423181434055
29,0,-146,-14.4160658276148
29,0,-144,-14.1485487661937
29,0,-142,-14.3293217402126
29,0,-140,-14.9266828496966
29,0,-138,-15.8534461452325
29,0,-136,-17.0023571258509
29,0,-134,-18.2694943647037
29,0,-132,-19.4954514548851
29,0,-130,-20.2526569860789
29,0,-128,-19.903961019616
29,0,-126,-18.5063130351141
29,0,-124,-16.8251982366416
29,0,-122,-15.3854538416093
29,0,-120,-14.3439214528786
29,0,-118,-13.6947283920966
