"d [mm]","dist [mm]","dw [mm]","Freq [GHz]","h [mm]","h_s [mm]","l [mm]","l_inset [mm]","l_s [mm]","ls [mm]","Phi [deg]","w [mm]","w_inset [mm]","w_s [mm]","Theta [deg]","db(GainPhi) []"
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,44,-1.09497797700161
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,46,-1.43724326610579
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,48,-1.69202471768674
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,50,-1.84770053181457
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,52,-1.93111876459588
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,54,-1.9974402889385
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,56,-2.10822079624647
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,58,-2.31262732103115
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,60,-2.63780227997189
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,62,-3.08573820808337
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,64,-3.63296062486274
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,66,-4.23277459726824
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,68,-4.8237089011801
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,70,-5.3478762228658
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,72,-5.77492338997852
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,74,-6.11630463500855
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,76,-6.41807745348313
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,78,-6.73918828490314
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,80,-7.13158702339403
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,82,-7.62979585343239
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,84,-8.24693087659018
