"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []"
28,0,94,-15.4458272883163
28,0,96,-16.1328629843975
28,0,98,-16.7722960839605
28,0,100,-16.1206846731144
28,0,102,-14.6714982502212
28,0,104,-13.7870050608084
28,0,106,-14.2644582153717
28,0,108,-16.9779404892037
28,0,110,-25.3689429637566
28,0,112,-26.1428124379586
28,0,114,-17.3717415575922
28,0,116,-15.1275152670289
28,0,118,-16.1936363738447
28,0,120,-20.8965400595485
28,0,122,-21.8999602423899
28,0,124,-15.513329926669
28,0,126,-12.0215082151733
28,0,128,-10.1255272651008
28,0,130,-9.18781991797623
28,0,132,-9.3589039956918
28,0,134,-11.5050187532478
28,0,136,-15.9723834139116
28,0,138,-11.0171628301
28,0,140,-5.49097596442412
28,0,142,-2.60446191358314
28,0,144,-1.29429455323757
28,0,146,-0.991359963650085
28,0,148,-1.43282301316964
28,0,150,-2.46713806806294
28,0,152,-3.79145643656854
28,0,154,-4.92360815973238
28,0,156,-5.24274919267163
28,0,158,-3.88583362130053
28,0,160,-2.39049388105242
28,0,162,-3.20719993224663
28,0,164,-5.72797959921581
28,0,166,-2.08821035375541
28,0,168,0.52160976859284
28,0,170,-0.851582285911154
28,0,172,-7.0936056522578
28,0,174,-15.4585963725851
28,0,176,-5.17326197393121
28,0,178,0.377326568951028
28,0,180,2.16834696548127
