"d [mm]","dw [mm]","w [mm]","w_inset [mm]","Freq [GHz]","db(S11) []"
0.324995141192639,0.847852902077836,3.13475998969076,0.344836594189614,28.8,-6.94233507658529
0.324995141192639,0.847852902077836,3.13475998969076,0.344836594189614,29,-5.71871426058274
0.31872271467571,0.864538550073961,3.13475998969076,0.344836594189614,27,-5.87702481042173
0.31872271467571,0.864538550073961,3.13475998969076,0.344836594189614,27.2,-7.11149805502414
0.31872271467571,0.864538550073961,3.13475998969076,0.344836594189614,27.4,-8.6906199825175
0.31872271467571,0.864538550073961,3.13475998969076,0.344836594189614,27.6,-10.6364144055731
0.31872271467571,0.864538550073961,3.13475998969076,0.344836594189614,27.8,-12.6701203865599
0.31872271467571,0.864538550073961,3.13475998969076,0.344836594189614,28,-13.658657878611
0.31872271467571,0.864538550073961,3.13475998969076,0.344836594189614,28.2,-12.5759228528997
0.31872271467571,0.864538550073961,3.13475998969076,0.344836594189614,28.4,-10.5058340618531
0.31872271467571,0.864538550073961,3.13475998969076,0.344836594189614,28.6,-8.54924554647631
0.31872271467571,0.864538550073961,3.13475998969076,0.344836594189614,28.8,-6.96593498559839
0.31872271467571,0.864538550073961,3.13475998969076,0.344836594189614,29,-5.72986742763852
0.31872271467571,0.847852902077836,3.1964517072188,0.344836594189614,27,-6.20350209803353
0.31872271467571,0.847852902077836,3.1964517072188,0.344836594189614,27.2,-7.56063668043765
0.31872271467571,0.847852902077836,3.1964517072188,0.344836594189614,27.4,-9.31400387612501
0.31872271467571,0.847852902077836,3.1964517072188,0.344836594189614,27.6,-11.4788533145286
0.31872271467571,0.847852902077836,3.1964517072188,0.344836594189614,27.8,-13.6084898512306
0.31872271467571,0.847852902077836,3.1964517072188,0.344836594189614,28,-14.1221343010466
0.31872271467571,0.847852902077836,3.1964517072188,0.344836594189614,28.2,-12.3973167059994
0.31872271467571,0.847852902077836,3.1964517072188,0.344836594189614,28.4,-10.1101645408184
0.31872271467571,0.847852902077836,3.1964517072188,0.344836594189614,28.6,-8.15295804024476
0.31872271467571,0.847852902077836,3.1964517072188,0.344836594189614,28.8,-6.62302627089161
0.31872271467571,0.847852902077836,3.1964517072188,0.344836594189614,29,-5.44550229202661
0.338918815438405,0.887048628164362,3.44823598865984,0.310352934770653,27,-7.64096414066899
0.338918815438405,0.887048628164362,3.44823598865984,0.310352934770653,27.2,-9.93524002052886
0.338918815438405,0.887048628164362,3.44823598865984,0.310352934770653,27.4,-13.4919390365481
0.338918815438405,0.887048628164362,3.44823598865984,0.310352934770653,27.6,-19.5874880252242
0.338918815438405,0.887048628164362,3.44823598865984,0.310352934770653,27.8,-21.6540905859733
0.338918815438405,0.887048628164362,3.44823598865984,0.310352934770653,28,-14.7436386609778
0.338918815438405,0.887048628164362,3.44823598865984,0.310352934770653,28.2,-10.6332520788342
0.338918815438405,0.887048628164362,3.44823598865984,0.310352934770653,28.4,-8.04643690275017
0.338918815438405,0.887048628164362,3.44823598865984,0.310352934770653,28.6,-6.28554689785666
0.338918815438405,0.887048628164362,3.44823598865984,0.310352934770653,28.8,-5.03214288801913
0.338918815438405,0.887048628164362,3.44823598865984,0.310352934770653,29,-4.11379709111281
0.338918815438405,0.887048628164362,3.44823598865984,0.316475050395162,27,-7.38134611258854
0.338918815438405,0.887048628164362,3.44823598865984,0.316475050395162,27.2,-9.51655971013489
0.338918815438405,0.887048628164362,3.44823598865984,0.316475050395162,27.4,-12.7451720908358
0.338918815438405,0.887048628164362,3.44823598865984,0.316475050395162,27.6,-18.022001492822
0.338918815438405,0.887048628164362,3.44823598865984,0.316475050395162,27.8,-21.8128012451047
0.338918815438405,0.887048628164362,3.44823598865984,0.316475050395162,28,-15.5594624023109
0.338918815438405,0.887048628164362,3.44823598865984,0.316475050395162,28.2,-11.20335137221
0.338918815438405,0.887048628164362,3.44823598865984,0.316475050395162,28.4,-8.45632632598963
